Name	Title	URL	Logo Name	Logo Alt	Logo Title	Logo URL
azurair	AzurAir	http://www.azurair.com/	azurair.png	Авиакомпания AzurAir	Авиабилеты от AzurAir	http://www.azurair.com/Content/images/azurair.png
аэрофлот	Аэрофлот	https://www.aeroflot.ru	aeroflot.png	Авиакомпания Аэрофлот	Авиабилеты от Аэрофлота	http://www.aeroflot.ru/ru-en/ski/images/logo.png
s7	S7	https://www.s7.ru/	s7.svg	Авиакомпания S7 Airlines	Авиабилеты от S7 Airlines	https://www.s7.ru/images/icons-svg/S7_logo.svg
ural	Уральские Авиалинии (Ural Airlines)	http://www.uralairlines.ru/	ural-airlines.png	Уральские Авиалинии (Ural Airlines)	Авиабилеты от Уральских Авиалиний	http://logos-download.com/wp-content/uploads/2016/04/Ural_Airlines_logo_logotype_emblem_Уральские_Авиалинии.png
globus	Авиакомпания "Глобус" (Globus Airlines)	https://www.s7.ru/about/our-companies/globus.dot	globus.png	Авиакомпания "Глобус" (Globus Airlines)	Авиабилеты от Авиакомпании "Глобус"	http://theflightreviews.com/wp-content/uploads/2016/05/logo-17.png
etihad-airways	Etihad Airways Global	http://www.etihad.com/ru/	etihad-airways.png	Авиакомпания Etihad Airways Global	Авиабилеты от Etihad Airways Global	http://www.etihad.com/Documents/EYLogo/logo-en.png
KLM-Royal-Dutch-Airlines	KLM Royal Dutch Airlines	https://www.klm.com/	KLM-Royal-Dutch-Airlines.png	Авиакомпания KLM Royal Dutch Airlines	Авиабилеты от KLM Royal Dutch Airlines	http://logok.org/wp-content/uploads/2015/01/KLM-Royal-Dutch-Airlines-Logo.png
Turkish-Airlines	Turkish Airlines	http://www.turkishairlines.com/	Turkish-Airlines.png	Авиакомпания Turkish Airlines	Авиабилеты от Turkish Airlines	http://logok.org/wp-content/uploads/2015/06/Turkish-Airlines-Logo-logotype-1024x768.png
Fly-Emirates	Fly Emirates	https://www.emirates.com/	Fly-Emirates.png	Авиакомпания Fly Emirates	Авиабилеты от Fly Emirates	https://upload.wikimedia.org/wikipedia/commons/5/50/Fly_Emirates_logo.png
pegas fly	Авиакомпания Pegas Fly	http://pegasfly.ru/	Pegas-Fly.png	Авиакомпания Pegas Fly	Авиабилеты от Pegas Fly	http://pegasfly.ru/static/cms/sites/521/pegas_fly_proper.png
orenair	Оренбургские авиалинии ORENAIR	http://www.orenair.ru/	orenair.png	Авиакомпания Оренбургские авиалинии OrenAir	Авиабилеты от OrenAir	http://www.orenair.ru/images/logo.png
rossiya-airlines	Авиакомпания "Россия"	http://www.rossiya-airlines.com/	rossiya-airlines.svg	Авиакомпания "Россия"	Авиабилеты от Авиакомпании "Россия"	http://www.rossiya-airlines.com/local/templates/rossiya_airlines/tpl/img/logo_top.svg
Nordwind-Airlines	Северный Ветер (Nordwind airlines)	http://nordwindairlines.ru/	Nordwind-Airlines.png	Авиакомпания Северный Ветер (Nordwind airlines)	Авиабилеты от Nordwind airlines	http://fresh.aviafox.com/images/airline/140/40/N4@2x.png
Ozon-Travel	Ozon Travel	http://www.ozon.travel/	Ozon-Travel.svg	Ozon Travel	Авиабилеты от Ozon Travel	http://www.ozon.travel/assets/geo/images/ozon_travel_logo.svg
kupibilet	Kupibilet	https://www.kupibilet.ru/	kupibilet.svg	Kupibilet 	Авиабилеты от Kupibilet 	https://cdn.kupibilet.ru/assets/images/logo.8d6ee4a106c94654323387a643721d47.svg
onetwotrip	One Two Trip	https://www.onetwotrip.com/	onetwotrip.png	One Two Trip	Авиабилеты от One Two Trip	https://www.onetwotrip.com/images/logo.png
trip-ru	Trip.ru	https://www.trip.ru/	trip-ru.png	Trip.ru	Авиабилеты от Trip.ru	http://www.trip.ru/assets/redesign/brand_logos/small/trip.ru-64a5886786c7b64fb9c8fe89db910e6c.png
sindbad	Sindbad.ru	https://sindbad.ru/	sindbad-ru.png	Sindbad.ru	Авиабилеты от Sindbad.ru	http://www.cleverpumpkin.ru/i/client/5/ill_large.png
Svyaznoy-Travel	Связной Трэвел	https://www.svyaznoy.travel	svyaznoy-travel.png	Связной Трэвел	Авиабилеты от "Связной Трэвел"	https://www.svyaznoy.travel/content/img/logo.png
tickets-ru	Tickets.ru	https://tickets.ru/	tickets-ru.png	Tickets.ru	Авиабилеты от Tickets.ru	https://www.blackfriday.ru/images/2016/10/11/39.product.42.png
